0,221,0,221
1,216.89,6.82,216.9971993
2,215.57,13.56,215.9960613
3,218.03,20.61,219.0019475
4,218.27,27.57,220.0043131
5,214.33,33.95,217.0021922
6,211.19,40.29,214.9988377
7,206.89,46.25,211.9965438
8,207.28,53.22,214.0031934
9,203.58,59.15,211.9989125
10,200.67,65.2,210.9964192
11,195.7,70.46,207.9978404
12,195.25,77.31,209.9985681
13,183.55,79.43,199.9993185
14,186.39,87.71,205.995816
15,182.66,93.07,205.0041475
16,180.52,99.24,206.0001165
17,179.03,105.88,207.9959502
18,174.78,110.92,207.0055429
19,169.55,115.23,205.000379
20,160.99,116.97,198.9968869
21,164.35,127.48,207.9953675
22,157.96,130.67,205.0024646
23,153.77,135.57,204.9986288
24,148.71,139.65,204.0019279
25,146.37,146.37,206.9984391
26,140.33,149.44,204.9995671
27,134.25,152.27,203.0005305
28,134.5,162.58,211.0035696
29,128.1,165.14,208.9995923
30,121.08,166.66,205.9998107
31,112.42,165.42,200.0050819
32,114.13,179.84,212.9978462
33,106.39,179.9,209.0044069
34,100.69,183.15,209.0033459
35,95.34,187.11,209.999685
36,89.84,190.92,211.0015924
37,83,191.81,208.9977897
38,77.31,195.25,209.9985681
39,72.83,202.29,215.0010535
40,66.75,205.43,216.0024245
41,59.7,205.5,213.9961215
42,54.96,214.06,221.0029077
43,47.34,211.77,216.9967938
44,41.6,218.07,222.0024435
45,35.04,221.24,223.9976321
46,28.07,222.23,223.995754
47,21.17,224,224.9981531
48,14.13,224.56,225.0041122
49,7.19,228.89,229.0029
50,0,224,224
51,-7.04,223.89,224.0006556
52,-14.94,237.53,237.9993792
53,-22.3,235.95,237.001461
54,-30.08,238.11,240.0024552
55,-36.61,231.12,234.0015951
56,-45.35,237.71,241.997245
57,-53.01,237.15,243.0024333
58,-61.43,239.24,247.0008553
59,-69.19,238.15,247.9973359
60,-78.18,240.62,253.0021676
61,-85.36,237.1,251.9974992
62,-93.14,235.23,252.9984437
63,-102.86,237.7,259.0009066
64,-111.55,237.06,261.993981
65,-119.4,234.33,262.9960245
66,-125.74,228.72,261.0045708
67,-135.4,228.96,265.9997023
68,-145.74,229.66,271.9997485
69,-155.14,228.27,275.999298
70,-165.17,227.33,280.9983235
71,-171.61,221.24,279.9948744
72,-179.75,217.28,281.9940795
73,-187.15,212.28,282.9980935
74,-195.78,208.49,286.0033016
75,-203.65,203.65,288.004592
76,-217.23,204,298.0014646
77,-225.78,199.05,300.9942041
78,-231.92,191.86,300.9935979
79,-241,186.94,305.0042026
80,-254.03,184.56,313.9962333
81,-258.88,175.93,313.0019478
82,-265.12,168.25,314.0010779
83,-275.44,162.89,320.0005402
84,-277.79,152.72,317.0026538
85,-296.71,151.18,333.0048295
86,-302.21,142.21,333.9978566
87,-300.11,129.87,327.0049373
88,-304.04,120.38,327.0040764
89,-318.02,114.49,338.0010067
90,-326.21,105.99,342.9968574
91,-332.26,96.53,345.9981915
92,-337.07,86.54,348.001949
93,-336.69,75.26,344.9988749
94,-344.78,65.77,350.9970674
95,-351.62,55.69,356.0028097
96,-361.13,45.62,364.0000842
97,-362.38,34.26,363.9958956
98,-363.28,22.86,363.9985412
99,-363.82,11.43,363.9995018
100,-362,0,362
101,-369.82,-11.62,370.0025092
102,-370.27,-23.3,371.0023759
103,-370.35,-35.01,372.0011056
104,-370.06,-46.75,373.001295
105,-366.43,-58.04,370.998095
106,-368.36,-70.27,375.0026167
107,-362.07,-80.93,371.0045145
108,-369.03,-94.75,380.9996108
109,-368.75,-107.13,383.9966138
110,-366.16,-118.97,385.0026058
111,-361.3,-130.08,384.0032505
112,-360.75,-142.83,387.9960971
113,-358.84,-155.28,390.9961944
